PP,PSOE,IU,CIU,EAJ-PNV,CC,BNG,HB,ERC,PA,EA,UV,LVE,CHA,UC,UPV-BN,PSM-ENE,LV-GV,CDN,PRT,PCPE,PH,PAS,FEA,UPL,ICV-GORORDO,LV,CEX,UM,TC-PNC,PRIOJANO,PEC,URCL,NA,AUN,PREPAL,SOS,CR,FREPIC,PSPC,PRCM,FPG,SIEX,PRIM,PRV,FEI,NR,AR,PICC,ENV,PB,PCN,UPRA,UAD,ADEC,VDPA,N,ALAS,ABA,PRGU,LAE,DSA,LG,PIZ,PNM,AFIT,CCV,PAE,POR
135701,144480,21867,0,0,110080,0,0,0,0,0,0,508,0,808,0,0,1539,0,0,415,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0
175651,123940,39541,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,377,640,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105294,103471,22682,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,242,0,301,0,227,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141494,142101,25689,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,208,0,290,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70199,59261,7844,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,89,0,88,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53683,36156,11080,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,96,0,121,0,138,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0
164313,142262,27904,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,194,0,214,0,329,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,642,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68503,35527,8977,0,0,0,0,0,0,0,0,0,0,0,1793,0,0,0,0,95,0,147,0,163,0,0,0,0,0,136,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126837,71804,25880,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,378,0,0,0,264,0,0,0,0,0,3205,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162850,126532,25622,0,0,0,0,0,0,0,0,0,1109,0,313,0,0,0,0,121,0,134,0,208,12049,0,0,0,0,61,0,0,115,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
