UCD,PSOE,PCE,AP,PSP-US,PDPC,PNV,FDC-EDC,UDC-IDCC,EC-FED,FDI,ASDCI,AET,AN18,RSE,EE,FJONSA,FUT,CAIC,ESB,PSPV,INDEP,PSG,DCV,FJONS,UNAI,BNPG,AFN,URA,PSOE-H,LLIGA,ANEPA-CP,UAN,PCU,DIV,CUPS,UAB,CCIA,URAS,FNI,PPCAN,DSCC,MS,MFA,ASA,CJA,INDEP,ANV,INDEP,INDEP,DCAR,INDEP,FN,CUP,PSCAN,PIM,FAA,PPROV,INDEP,ICU,PSDE,PDG,UDIB,INDEP,FL,INDEP,INDEP,INDEP,PRSV,INDEP,INDEP,AEICYU,CUIR,CIPYE,ADEC,ADC,FEI,PAE,PLI,INDEP,BAI,CAI
64603,56332,13623,16005,0,0,0,0,0,0,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,4939,0,0,0,0,0,0,0,0,0,0,0,0,11879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102362,79715,15562,31310,13582,0,0,0,0,0,1203,811,0,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70550,28350,7927,10277,1947,0,0,1646,0,0,242,674,0,0,2024,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0
39321,17133,5521,12815,2182,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101891,83956,21942,44091,4253,0,0,0,0,0,1320,0,0,6656,0,0,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71650,14984,2406,7123,1777,0,0,4872,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89363,44388,4765,28707,5870,0,0,3012,0,0,3172,866,1552,1366,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137495,64766,12460,33285,9212,0,0,4371,0,0,2712,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51568,25878,3744,14638,3084,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,0,0,0,396,0,0,0,0,0,0
108862,44168,5522,15259,11930,0,0,5302,0,0,872,0,0,0,929,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
