community,cod_province,province,population,total_voters,valid_votes,votes_to_parties,blank_votes,null_votes,fecha
Andalucía,4, Almería ,701211,308989,306674,304461,2213,2315, 2016-06-26
Andalucía,11, Cádiz,1240284,622252,615755,608817,6938,6497, 2016-06-26
Andalucía,14, Córdoba ,795611,452038,446818,442329,4489,5220, 2016-06-26
Andalucía,18, Granada ,917297,494171,489540,486116,3424,4631, 2016-06-26
Andalucía,21, Huelva  ,520017,249269,245819,243293,2526,3450, 2016-06-26
Andalucía,23, Jaén ,654170,375082,370762,368217,2545,4320, 2016-06-26
Andalucía,29, Málaga  ,1628973,752086,744858,738680,6178,7228, 2016-06-26
Andalucía,41, Sevilla ,1941480,1044851,1033112,1023530,9582,11739, 2016-06-26
Aragón,22, Huesca  ,222909,118018,116884,115680,1204,1134, 2016-06-26
Aragón,44, Teruel  ,138932,75932,74922,74218,704,1010, 2016-06-26
Aragón,50, Zaragoza,956006,517144,513135,509011,4124,4009, 2016-06-26
Principado de Asturias  ,33, Asturias,1051229,600463,594699,589325,5374,5764, 2016-06-26
Illes Balears  ,7, Illes Balears ,1104479,469437,464787,460561,4226,4650, 2016-06-26
Canarias ,35, Las Palmas ,1098406,508957,502506,499004,3502,6451, 2016-06-26
Canarias ,38, Santa Cruz de Tenerife ,1001900,481925,476666,473883,2783,5259, 2016-06-26
Cantabria,39, Cantabria  ,585179,341348,337567,335113,2454,3781, 2016-06-26
Castilla - La Mancha ,2, Albacete,394580,221706,219473,218043,1430,2233, 2016-06-26
Castilla - La Mancha ,13, Ciudad Real,513713,282634,279396,277457,1939,3238, 2016-06-26
Castilla - La Mancha ,16, Cuenca  ,203841,117118,115849,115026,823,1269, 2016-06-26
Castilla - La Mancha ,19, Guadalajara,253686,132903,131538,130716,822,1365, 2016-06-26
Castilla - La Mancha ,45, Toledo  ,693371,371866,367503,365529,1974,4363, 2016-06-26
Castilla y León,5, Ávila,164925,100106,98917,98200,717,1189, 2016-06-26
Castilla y León,9, Burgos  ,364002,209246,206981,205169,1812,2265, 2016-06-26
Castilla y León,24, León ,479395,284076,280858,278461,2397,3218, 2016-06-26
Castilla y León,34, Palencia,166035,101838,100626,99788,838,1212, 2016-06-26
Castilla y León,37, Salamanca  ,339395,204615,202483,201040,1443,2132, 2016-06-26
Castilla y León,40, Segovia ,157570,89662,88525,87910,615,1137, 2016-06-26
Castilla y León,42, Soria,91006,50337,49618,49018,600,719, 2016-06-26
Castilla y León,47, Valladolid ,526288,319280,315768,313534,2234,3512, 2016-06-26
Castilla y León,49, Zamora  ,183436,110339,108893,107883,1010,1446, 2016-06-26
Cataluña ,8, Barcelona  ,5523922,2659818,2643933,2622852,21081,15885, 2016-06-26
Cataluña ,17, Girona  ,753054,310377,307853,305211,2642,2524, 2016-06-26
Cataluña ,25, Lleida  ,436029,182909,181159,179003,2156,1750, 2016-06-26
Cataluña ,43, Tarragona  ,795101,347861,344620,341560,3060,3241, 2016-06-26
Extremadura ,6, Badajoz ,686730,382981,377949,375230,2719,5032, 2016-06-26
Extremadura ,10, Cáceres ,406267,239735,236205,234666,1539,3530, 2016-06-26
Galicia  ,15, A Coruña,1127196,651065,643389,636696,6693,7676, 2016-06-26
Galicia  ,27, Lugo ,339386,196272,192957,190869,2088,3315, 2016-06-26
Galicia  ,32, Ourense ,318391,188562,186177,184650,1527,2385, 2016-06-26
Galicia  ,36, Pontevedra ,947374,551762,544673,540255,4418,7089, 2016-06-26
Comunidad de Madrid  ,28, Madrid  ,6436996,3489376,3465795,3447658,18137,23581, 2016-06-26
Comunidad Foral de Navarra ,31, Navarra ,640476,338720,335335,331867,3468,3385, 2016-06-26
País Vasco  ,1, Araba - Álava ,323648,169331,167640,166562,1078,1691, 2016-06-26
País Vasco  ,20, Gipuzkoa,716834,367464,365493,362782,2711,1971, 2016-06-26
País Vasco  ,48, Bizkaia ,1148775,625444,621219,617312,3907,4225, 2016-06-26
Región de Murcia  ,30, Murcia  ,1467288,719536,713592,709879,3713,5944, 2016-06-26
La Rioja ,26, La Rioja,317053,174913,172982,171757,1225,1931, 2016-06-26
Comunitat Valenciana ,3, Alicante / Alacant  ,1855047,882601,875169,870331,4838,7432, 2016-06-26
Comunitat Valenciana ,12, Castellón / Castelló,582327,302324,299204,297135,2069,3120, 2016-06-26
Comunitat Valenciana ,46, Valencia / València ,2543315,1431843,1419521,1411013,8508,12322, 2016-06-26
Ciudad de Ceuta,51, Ceuta,84263,31194,30837,30521,316,357, 2016-06-26
Ciudad de Melilla ,52, Melilla ,85584,27483,27121,26853,268,362, 2016-06-26
