community,cod_province,province,population,total_voters,valid_votes,votes_to_parties,blank_votes,null_votes,date
Andalucía ,4,Almería ,442324,221081,219435,218644,791,1646,1989-10-01
Andalucía ,11,Cádiz,1044493,473084,469188,466724,2464,3896,1989-10-01
Andalucía ,14,Córdoba ,747505,422777,420386,418821,1565,2391,1989-10-01
Andalucía ,18,Granada ,783265,411161,408799,406546,2253,2362,1989-10-01
Andalucía ,21,Huelva,433995,211351,210319,209379,940,1032,1989-10-01
Andalucía ,23,Jaén ,646849,368225,365367,364196,1171,2858,1989-10-01
Andalucía ,29,Málaga,1150434,513557,510152,508045,2107,3405,1989-10-01
Andalucía ,41,Sevilla ,1540907,816518,810000,805917,4083,6518,1989-10-01
Aragón,22,Huesca,210094,118680,117395,116344,1051,1285,1989-10-01
Aragón,44,Teruel,149414,84927,84196,83611,585,731,1989-10-01
Aragón,50,Zaragoza,824686,460759,457862,453910,3952,2897,1989-10-01
Principado de Asturias ,33,Asturias,1112186,617697,612844,609116,3728,4853,1989-10-01
Illes Balears,7,Illes Balears,680933,348779,344681,341705,2976,4098,1989-10-01
Canarias,35,Las Palmas,751269,357617,354733,352951,1782,2884,1989-10-01
Canarias,38,Santa Cruz de Tenerife ,715122,319129,315806,314240,1566,3323,1989-10-01
Cantabria ,39,Cantabria ,522664,301118,297873,295049,2824,3245,1989-10-01
Castilla - La Mancha,2,Albacete,346217,198409,197173,195851,1322,1236,1989-10-01
Castilla - La Mancha,13,Ciudad Real,483634,276389,273884,272404,1480,2505,1989-10-01
Castilla - La Mancha,16,Cuenca,213370,128291,127446,126661,785,845,1989-10-01
Castilla - La Mancha,19,Guadalajara,146316,87440,86690,85894,796,750,1989-10-01
Castilla - La Mancha,45,Toledo,486194,291339,288466,286744,1722,2873,1989-10-01
Castilla y León,5,Ávila,182101,111022,109087,108411,676,1935,1989-10-01
Castilla y León,9,Burgos,359198,205903,203508,201110,2398,2395,1989-10-01
Castilla y León,24,León ,531021,289541,285943,283157,2786,3598,1989-10-01
Castilla y León,34,Palencia,189433,113840,112752,111711,1041,1088,1989-10-01
Castilla y León,37,Salamanca ,359293,217999,216198,214321,1877,1801,1989-10-01
Castilla y León,40,Segovia ,150595,90798,89537,88307,1230,1261,1989-10-01
Castilla y León,42,Soria,97743,56658,55844,55167,677,814,1989-10-01
Castilla y León,47,Valladolid,491093,284953,282555,279588,2967,2398,1989-10-01
Castilla y León,49,Zamora,222006,129582,128411,127280,1131,1171,1989-10-01
Cataluña,8,Barcelona ,4614525,2456966,2443643,2429402,14241,13323,1989-10-01
Cataluña,17,Girona,488216,259411,257757,255771,1986,1654,1989-10-01
Cataluña,25,Lleida,352049,184557,183444,182103,1341,1113,1989-10-01
Cataluña,43,Tarragona ,524854,274973,273403,271719,1684,1570,1989-10-01
Extremadura,6,Badajoz ,666053,375639,373292,371493,1799,2347,1989-10-01
Extremadura,10,Cáceres ,420367,242626,240509,239423,1086,2117,1989-10-01
Galicia ,15,A Coruña,1109788,526278,518266,513491,4775,8012,1989-10-01
Galicia ,27,Lugo ,404888,203253,201857,200475,1382,1396,1989-10-01
Galicia ,32,Ourense ,429382,190415,188316,187040,1276,2099,1989-10-01
Galicia ,36,Pontevedra,900414,425707,421949,418043,3906,3758,1989-10-01
Comunidad de Madrid ,28,Madrid,4782418,2700942,2686715,2659412,27303,14227,1989-10-01
Comunidad Foral de Navarra,31,Navarra ,515766,280150,277937,274977,2960,2213,1989-10-01
País Vasco,1,Araba - Álava,267728,139246,137846,136787,1059,1400,1989-10-01
País Vasco,20,Gipuzkoa,689222,356174,354371,352142,2229,1803,1989-10-01
País Vasco,48,Bizkaia ,1179150,620768,614724,610548,4176,6044,1989-10-01
Región de Murcia,30,Murcia,1006788,559824,556083,553443,2640,3741,1989-10-01
La Rioja,26,La Rioja,259909,149134,147808,146033,1775,1326,1989-10-01
Comunitat Valenciana,3,Alicante / Alacant,1217279,668432,664060,660729,3331,4372,1989-10-01
Comunitat Valenciana,12,Castellón / Castelló,436590,257236,254870,253197,1673,2366,1989-10-01
Comunitat Valenciana,46,Valencia / València ,2078815,1205245,1199875,1193855,6020,5370,1989-10-01
Ciudad de Ceuta,51,Ceuta,65151,23131,22919,22649,270,212,1989-10-01
Ciudad de Melilla ,52,Melilla ,52388,17634,17508,17351,157,126,1989-10-01
