UCD,PSOE,PCE,CD,CIU,UN,PSA-PA,PNV,PTE,HB,PSOE-H,ORT,ERFN,EE,MC-OIC,BNPG,C-UPC,BEAN,PG-POG-PSG,IR,PCARL,OCEBR-UCE,PCT,PAR,LCR,UFV,FJONSA,UPN,PSAR - PSDA,PANCAL,PLIB,URV,PNPV,UNAI,PRE,PDPCAN,SMIM,PSIN,ULE,E CATALA,P-CANT,CIC,DSCC,PPROV,ARDE,LC,CNA,FEA,PIPPA,POC,CIME,UF-FI-AT,FE-UF
153457,113600,34000,22969,0,7843,0,0,19883,0,4022,2432,0,0,2780,0,0,0,0,2086,872,756,1416,38042,788,0,908,0,17242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177459,200346,73744,46365,0,11178,0,0,1489,0,3101,2518,0,0,6003,0,0,0,0,1740,0,1149,3102,0,1312,0,1623,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,3049,0,0,0,0,1188,0
146927,88232,14757,27554,0,3165,0,0,1793,0,0,1070,0,0,1179,0,0,0,0,0,1257,0,1544,0,893,0,0,0,0,0,0,0,0,0,0,0,10022,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171842,41616,8245,8607,0,2218,0,0,1315,0,0,1165,0,0,0,0,38304,0,0,1019,774,0,0,0,826,0,0,0,0,0,0,0,0,0,0,10099,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139908,53604,11560,11204,0,3482,0,0,1644,0,0,1796,0,0,0,0,20649,0,0,0,852,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108552,78512,17140,26707,0,10106,0,0,4014,0,3735,3267,0,0,872,0,0,0,0,643,1013,772,0,0,752,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660
65883,65465,20945,8224,0,3753,0,0,455,0,2205,284,0,0,0,0,0,0,0,311,241,481,338,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100896,95996,19171,11659,0,10004,0,0,2238,0,0,1296,0,0,0,0,0,0,0,0,388,840,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64273,38654,10049,7388,0,0,0,0,265,0,0,319,0,0,196,0,0,0,0,0,177,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0
36361,18155,6699,8416,0,5131,0,0,301,0,666,513,0,0,107,0,0,0,0,0,0,421,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0
110700,85288,28961,14933,0,19383,0,0,1692,0,1753,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0
67001,20341,3661,6995,0,1599,0,0,265,0,0,278,0,0,429,0,0,0,0,0,109,0,271,0,125,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95425,41394,7189,14759,0,6900,0,0,2215,0,2250,2288,0,0,1139,0,0,0,0,0,499,0,0,0,837,0,729,0,0,2636,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129085,71533,15157,29313,0,3029,0,0,1405,0,0,1262,0,0,630,0,0,0,0,0,335,0,1408,0,515,0,1227,0,0,0,0,0,0,0,1379,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51069,25888,4517,9351,0,3746,0,0,1033,0,0,325,0,0,302,0,0,0,0,0,153,244,571,0,0,0,367,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,117,0,0,0,0,0,493,0,0,0
104328,51866,7837,14992,0,1946,0,0,1133,0,2642,831,0,0,487,0,0,0,0,587,0,0,0,0,692,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6115,0,0,0,0,0,0,0,0,0,0,0
49375,19216,3450,5458,0,948,0,0,306,0,0,299,0,0,532,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31756,14187,1550,5567,0,664,0,0,341,0,0,320,0,0,301,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93062,71230,18229,19706,0,8931,0,0,3117,0,2802,1570,0,0,1755,0,0,0,0,740,0,1045,1032,0,627,0,1164,0,0,13380,745,0,0,0,3528,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0
61025,27143,3506,19603,0,2111,0,0,591,0,0,463,0,0,563,0,0,0,0,0,0,372,488,0,0,0,400,0,0,0,2458,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387543,694847,436908,84195,362427,20743,0,0,36001,0,29868,11122,88770,2550,10714,0,0,41430,0,15019,2554,14635,10022,0,5775,0,3908,0,0,0,3267,0,0,0,0,0,0,5932,1838,5767,0,0,4976,1622,0,0,0,0,2409,0,0,0,0
58939,66328,22261,7927,58735,2372,0,0,1229,0,0,513,9964,0,457,0,0,1939,0,1374,517,1455,1440,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54540,42937,18340,5509,27399,1875,0,0,1914,0,0,355,13336,0,562,0,0,1476,0,1066,461,618,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,171,561,0,0,0,0,0,0,0,0,0,0,0,0,0
69926,71417,35283,9998,34792,2311,0,0,1201,0,0,1038,11382,0,1295,0,0,2117,0,1099,1622,921,1746,0,375,0,410,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146699,122680,30873,11194,0,6220,0,0,1852,0,3183,4779,0,0,369,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97592,78670,10777,8490,0,5656,0,0,1427,0,0,1503,0,0,974,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0
200120,76873,20213,50588,0,4285,0,0,3043,0,12368,1423,0,0,2254,23247,0,0,28136,1490,0,1446,2271,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79964,27920,2441,30731,0,816,0,0,407,0,0,286,0,0,264,11834,0,0,2911,658,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,249,0,0,0,0,0,0,216
75271,23292,3829,26901,0,0,0,0,741,0,0,417,0,0,622,7899,0,0,3348,0,606,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137769,49213,16111,37046,0,2733,0,0,2637,0,0,1081,0,0,1693,17909,0,0,21160,970,877,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764830,769328,310496,198345,0,110730,0,0,25832,0,13322,48354,0,3029,9095,0,0,0,0,7950,1683,6680,4675,0,4691,0,5264,0,0,0,4873,0,0,0,0,0,0,3845,1716,0,0,0,0,1510,0,2705,0,0,0,0,0,0,0
83302,55399,5619,0,0,0,0,21305,0,22425,0,0,0,0,2962,0,0,0,0,514,19522,0,0,0,1040,0,0,28248,0,0,0,0,0,10970,0,0,0,0,0,0,0,0,0,205,0,660,0,0,0,0,0,0,0
