comunidad,cod_provincia,provincia,poblacion,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,fecha
Andalucía ,4,Almería ,388437,186342,185182,184822,360,1160,1977-06-01
Andalucía,11,Cádiz,952328,421330,413337,411950,1387,7993,1977-06-01
Andalucía,14,Córdoba ,717005,365308,361661,361256,405,3647,1977-06-01
Andalucía,18,Granada ,737045,351595,348393,347518,875,3202,1977-06-01
Andalucía,21,Huelva,402973,189961,187251,186956,295,2710,1977-06-01
Andalucía,23,Jaén,645524,316613,314177,313908,269,2436,1977-06-01
Andalucía,29,Málaga,915422,440574,434521,433609,912,6053,1977-06-01
Andalucía,41,Sevilla ,1375540,692926,684399,682367,2032,8527,1977-06-01
Aragón,22,Huesca,215316,125015,122523,122129,394,2492,1977-06-01
Aragón,44,Teruel,156801,95055,93272,92793,479,1783,1977-06-01
Aragón,50,Zaragoza,797533,442996,436238,434660,1578,6758,1977-06-01
Principado de Asturias ,33,Asturias,1096811,584061,576100,575088,1012,7961,1977-06-01
Illes Balears,7,Illes Balears,633016,321552,315147,313836,1311,6405,1977-06-01
Canarias ,35,Las Palmas,671786,289260,283698,282841,857,5562,1977-06-01
Canarias ,38,Santa Cruz de Tenerife,687935,268184,263445,262585,860,4739,1977-06-01
Cantabria,39,Cantabria,492228,263997,256406,256015,391,7591,1977-06-01
Castilla - La Mancha,2,Albacete,331404,171690,169553,169079,474,2137,1977-06-01
Castilla - La Mancha,13,Ciudad Real,481212,251115,248142,247630,512,2973,1977-06-01
Castilla - La Mancha,16,Cuenca,221929,128304,126227,125913,314,2077,1977-06-01
Castilla - La Mancha,19,Guadalajara,139399,81562,80690,80487,203,872,1977-06-01
Castilla - La Mancha,45,Toledo,464236,268225,265929,265536,393,2296,1977-06-01
Castilla y León ,5,Ávila,190865,106097,105134,104894,240,963,1977-06-01
Castilla y León ,9,Burgos,347879,189485,186301,185558,743,3184,1977-06-01
Castilla y León ,24,León,526495,273694,270228,268946,1282,3466,1977-06-01
Castilla y León ,34,Palencia,185859,103778,102070,101760,310,1708,1977-06-01
Castilla y León ,37,Salamanca,349905,199259,194069,193552,517,5190,1977-06-01
Castilla y León ,40,Segovia ,151200,87097,85555,85191,364,1542,1977-06-01
Castilla y León ,42,Soria,104000,61230,60279,59997,282,951,1977-06-01
Castilla y León ,47,Valladolid,446675,249223,245518,244514,1004,3705,1977-06-01
Castilla y León ,49,Zamora,230535,133390,130134,129534,600,3256,1977-06-01
Cataluña ,8,Barcelona,4425562,2392774,2363117,2358838,4279,29657,1977-06-01
Cataluña ,17,Girona,437769,249960,246345,245840,505,3615,1977-06-01
Cataluña ,25,Lleida,349182,188715,185895,185526,369,2820,1977-06-01
Cataluña ,43,Tarragona,483709,257480,252624,252084,540,4856,1977-06-01
Extremadura,6,Badajoz ,640850,322276,319026,318394,632,3250,1977-06-01
Extremadura,10,Cáceres ,425667,212461,209363,209001,362,3098,1977-06-01
Galicia,15,A Coruña,1042880,461870,450884,448426,2458,10986,1977-06-01
Galicia,27,Lugo,416972,171681,167944,167142,802,3737,1977-06-01
Galicia,32,Ourense ,435210,163961,161081,160491,590,2880,1977-06-01
Galicia,36,Pontevedra,828812,354864,348710,347812,898,6154,1977-06-01
Comunidad de Madrid,28,Madrid,4365544,2332660,2308916,2302805,6111,23744,1977-06-01
Comunidad Foral de Navarra,31,Navarra ,484041,262522,258464,257866,598,4058,1977-06-01
País Vasco,1,Araba - Álava,235113,126968,124212,123967,245,2756,1977-06-01
País Vasco,20,Gipuzkoa,682517,335512,331292,330135,1157,4220,1977-06-01
País Vasco,48,Bizkaia ,1151102,572548,556235,555069,1166,16313,1977-06-01
Región de Murcia,30,Murcia,881340,450752,446272,445612,660,4480,1977-06-01
La Rioja ,26,La Rioja,240746,140429,137659,137303,356,2770,1977-06-01
Comunitat Valenciana,3,Alicante / Alacant,1051941,556525,549184,548113,1071,7341,1977-06-01
Comunitat Valenciana,12,Castellón / Castelló,410984,242186,238154,237404,750,4032,1977-06-01
Comunitat Valenciana,46,Valencia / València,1905152,1091199,1080031,1078161,1870,11168,1977-06-01
Ciudad de Ceuta ,51,Ceuta,67077,24578,24290,24223,67,288,1977-06-01
Ciudad de Melilla,52,Melilla ,60191,19291,19056,18949,107,235,1977-06-01
