PSOE,AP-PDP,UCD,PCE,CIU,CDS,EAJ-PNV,HB,ERC,FN,PST,EE,PSA-PA,PCC,B-PSG,UPC,NE,SE,EU,PCOE,CC,UCE,PCE (M-L),EG,AC-CC,UPV,CUC,EUPV,MFE,AEBA,PSM,PSA,ENV-URV,PS,AEGI,LC (COSI),CE-FCC,FIC,PNC,PREPAL,CC,FE-JONS,PADL,IDG,PRE,FE-I,PNC,ACI,MCATE,LCR-MC,PDB,ASDC,IR,FA,PC,PAE,PP,CIR,PCU,EM,BIA
112186,76255,31245,2144,0,12278,16363,34744,0,459,1088,8399,0,0,0,0,0,0,0,0,0,278,311,0,0,0,235,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51674,27974,0,1573,0,5604,32103,14540,0,314,854,10180,0,0,0,0,0,132,0,0,0,191,138,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99972,31308,0,4844,0,6407,125389,74217,0,435,1142,38156,0,0,0,0,0,0,0,0,0,206,281,0,0,0,389,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
196974,79866,0,14537,0,9815,221801,87100,0,1289,3815,43591,0,0,0,0,0,0,0,0,0,1225,478,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270552,189642,34354,20065,0,10211,0,0,0,2501,0,0,0,0,0,0,0,0,0,1007,0,708,463,0,0,0,527,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67781,64778,11545,2491,0,5774,0,0,0,669,902,0,0,0,0,0,0,0,0,0,0,445,116,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
352632,189040,46940,26531,0,16680,0,0,0,3461,3656,0,0,0,0,0,0,863,0,1327,0,688,444,0,0,2414,602,1226,713,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0
130200,73826,33547,8280,0,7100,0,0,0,2777,915,0,0,0,0,0,0,0,0,0,0,240,252,0,0,1589,0,1967,124,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635522,350281,52768,63026,0,28111,0,0,0,12431,7396,0,0,0,0,0,0,1305,0,3579,0,1284,1057,0,0,14513,1468,6109,916,0,0,0,6738,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11698,7674,1870,188,0,2010,0,0,0,173,137,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,17,0,0,0,0,0,0,0,0,0,0,0
10291,5551,3083,0,0,1615,0,0,0,143,0,0,0,0,0,0,0,105,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
