PSOE,PP,IU,CIU,CDS,EAJ-PNV,CC,HB,ERC,VERDES,PAR,EA-EUE,BNG,UV,PA,LE,ARM-ADE,PAP,UPV,PST,UPCA,PSM-ENE,PRC,UA,GIL,PGC,UPL,PLN,PAS,E U,PCPE,UMMP,PEC-VERDE,PH,POR,FE-JONS,NPS,P RIOJANO,CHA,CNG,TC-PNC,AG,ARDE,URCL,PB,PREX,SEES,PRIM,ACI,ENV,FE (I),APP,ARCOIRIS,PVPA,PC,PREPAL,MCE,ATF,PSPC,AIGRANC,UC,AA,FE (A),UNIDA,FPE,UDLA,OS,CONCEYU,PIAP,ABE,PITRCG,LG,PNC,IF,PRB,P TAGOROR,PRGU,MCES,US,PANCAL,INCE,UCE,PED,CCL,FREIXES
108305,112228,27043,0,5241,3540,0,32221,0,4263,0,11437,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,244,201,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40860,30652,10748,0,1818,26321,0,14702,0,1775,0,9036,0,0,0,1084,392,0,0,0,0,0,0,16623,0,0,0,204,0,0,0,0,0,0,111,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86410,42934,17733,0,2044,64195,0,76309,0,3703,0,66645,0,0,0,1839,779,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,216,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166172,102172,47091,0,5285,197392,0,83644,0,6769,0,42175,0,0,0,3215,1359,0,0,3053,0,0,0,0,0,0,0,387,0,0,0,0,0,353,405,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253324,310507,63717,0,14442,0,0,0,0,5085,0,0,0,0,0,1685,1399,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,487,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64037,78792,11850,0,3609,0,0,0,0,996,0,0,0,0,0,493,432,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,71,0,0,76,7532,0,0,0,0,73,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312754,340312,80339,0,15212,0,0,0,0,6274,0,0,0,4328,0,2311,2117,0,7488,0,0,0,0,0,0,0,0,200,0,0,1148,0,0,244,522,729,271,0,0,0,0,0,292,0,0,0,821,0,294,327,0,0,0,1375,685,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113752,128916,20250,0,5867,0,0,0,0,2294,0,0,0,5014,0,1096,564,0,6135,0,0,0,0,0,0,0,0,140,0,0,0,0,0,99,209,163,119,0,0,0,0,0,501,0,0,0,0,0,0,164,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508819,518089,156340,0,18844,0,0,0,0,14403,0,0,0,102999,0,3760,3111,0,27429,1631,0,0,0,0,0,0,0,533,0,0,0,0,0,421,873,652,339,0,0,0,0,0,843,0,0,0,0,0,0,1026,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12170,15276,0,0,485,0,0,0,0,491,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
12885,11865,687,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
