PSOE,AP-PDP-PL,CDS,CIU,IU,EAJ-PNV,HB,MUC,PRD,EE,PA,ERC,CG,PST,PAR,AIC,UV,PCC,PSG-EG,FE-JONS,UCE,UPV,AC-INC,LV,AV,VERDE,UPR,BNG,POSI,EU,PSPA,PSM-EN,CUN,PORE,PSDC,ADEI,CL,PREPAL,ENV-URV,LOC,PMCN,CN,PRM,PED,PANCAL,CA,PROV,AE-AIC,PAEC,EMK,LKI
20373,23949,8014,0,1500,0,0,400,1237,0,0,0,0,354,0,0,0,167,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115617,88500,47042,0,8280,0,0,6372,3404,0,0,0,0,1376,0,0,0,287,0,1080,726,0,0,0,0,0,526,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0
48436,52844,19444,0,2440,0,0,771,1405,0,0,0,0,704,0,0,0,180,0,312,391,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,271,574,0,0,0,0,0,0,0,0,0,0,0,0,0
1054135,261166,106434,728372,101654,0,0,15390,0,0,0,62390,0,7964,0,0,0,44757,0,2999,4411,0,0,0,14788,11746,2658,0,2386,0,0,0,0,1626,3137,0,0,0,0,1952,0,0,0,1169,0,0,756,0,0,0,0
82116,25892,6705,119963,6659,0,0,872,0,0,0,9118,0,1633,0,0,0,1603,0,377,359,0,0,0,3114,0,369,0,510,0,0,0,0,327,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58221,30759,6189,77645,4811,0,0,642,0,0,0,5880,0,704,0,0,0,1430,0,211,238,0,0,0,2222,0,189,0,241,0,0,0,0,179,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105261,43499,11376,88278,10788,0,0,1196,0,0,0,7240,0,1218,0,0,0,2899,0,0,457,0,0,0,2603,0,287,0,293,0,0,0,0,349,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209621,95566,31110,0,18727,0,0,2125,2023,0,0,0,0,0,0,0,0,286,0,0,1100,0,0,0,0,0,0,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127040,65470,17324,0,4796,0,0,2166,3736,0,0,0,0,0,0,0,0,2,0,572,551,0,0,0,0,0,381,0,638,12483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200522,184681,51763,0,6639,0,0,6042,0,0,0,0,18662,3130,0,0,0,834,18669,942,1528,0,0,0,0,0,953,13092,975,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55860,88162,12210,0,1398,0,0,1059,0,0,0,0,19944,774,0,0,0,323,3088,252,496,0,0,0,0,0,277,3310,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
