comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Galicia,32,Ourense ,425943,533,333227,13657,346884,174326,1906,176232,174211,173346,865,2021,1986
Galicia,36,Pontevedra ,900414,902,665644,20257,685901,408201,3462,411663,407093,404956,2137,4570,1986
Comunidad de Madrid,28,Madrid,4780515,4454,3529851,28077,3557928,2623105,6301,2629406,2584562,2559748,24814,44844,1986
Comunidad Foral de Navarra,31,Navarra ,515624,780,395282,3996,399278,277709,972,278681,273152,270440,2712,5529,1986
País Vasco,1,Araba - Álava,267728,320,197998,926,198924,138888,196,139084,136562,135576,986,2522,1986
País Vasco,20,Gipuzkoa,689222,775,531661,3946,535607,349738,844,350582,347246,345565,1681,3336,1986
País Vasco,48,Bizkaia ,1179150,1204,908327,4637,912964,622659,1111,623770,611221,608286,2935,12549,1986
Región de Murcia,30,Murcia,1006788,1030,725510,3531,729041,543517,806,544323,536218,533594,2624,8105,1986
La Rioja ,26,La Rioja,260024,381,201851,1753,203604,150854,442,151296,148328,146967,1361,2968,1986
Comunitat Valenciana,3,Alicante / Alacant,1217279,1129,867020,3327,870347,650446,829,651275,638049,635095,2954,13226,1986
Comunitat Valenciana,12,Castellón / Castelló,436588,517,337449,1047,338496,263282,174,263456,257863,256413,1450,5593,1986
Comunitat Valenciana,46,Valencia / València,2078815,2100,1582192,7398,1589590,1221497,1756,1223253,1195850,1190213,5637,27403,1986
Ciudad de Ceuta ,51,Ceuta,65151,46,42671,559,43230,24415,95,24510,24181,24045,136,329,1986
Ciudad de Melilla,52,Melilla ,52388,44,32810,520,33330,19908,85,19993,19769,19480,289,224,1986
