comunidad,cod_provincia,provincia,poblacion,num_mesas,total_censo_electoral,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía ,4,Almería,411665,393,278280,184489,182899,182539,360,1590,1979
Andalucía ,11,Cádiz ,999129,1012,643731,422011,413958,412986,972,8053,1979
Andalucía ,14,Córdoba,744359,753,512633,373627,369849,369281,568,3778,1979
Andalucía ,18,Granada,771227,668,524797,360733,358073,357633,440,2660,1979
Andalucía ,21,Huelva,422092,417,282075,186498,184404,184072,332,2094,1979
Andalucía ,23,Jaén,671563,661,464993,332326,329075,328718,357,3251,1979
Andalucía ,29,Málaga,989971,1015,651876,419157,413179,412302,877,5978,1979
Andalucía ,41,Sevilla,1452450,1854,978772,698818,692141,691090,1051,6677,1979
Aragón,22,Huesca,217244,399,168014,119654,117782,117320,462,1872,1979
Aragón,44,Teruel,157996,323,122441,85295,84350,83902,448,945,1979
Aragón,50,Zaragoza,820853,1169,609306,431657,424731,423096,1635,6926,1979
Principado de Asturias,33,Asturias,1162712,1442,868893,545179,537364,536168,1196,7815,1979
Illes Balears,7,Illes Balears,634248,870,452061,314850,300331,299197,1134,14519,1979
Canarias,35,Las Palmas,685799,936,421003,296783,287790,286766,1024,8993,1979
Canarias,38,Santa Cruz de Tenerife,694628,751,474841,250940,246409,245740,669,4531,1979
Cantabria ,39,Cantabria ,510460,806,375666,264658,259307,258132,1175,5351,1979
Castilla - La Mancha,2,Albacete,340797,499,238682,170678,169109,168750,359,1569,1979
Castilla - La Mancha,13,Ciudad Real ,495903,593,360747,246203,243851,243398,453,2352,1979
Castilla - La Mancha,16,Cuenca,226573,344,167946,124450,122718,122200,518,1732,1979
Castilla - La Mancha,19,Guadalajara ,143003,404,108095,78357,77458,77172,286,899,1979
Castilla - La Mancha,45,Toledo,479141,497,345126,268645,265700,265201,499,2945,1979
Castilla y León ,5,Ávila ,194540,312,146183,103007,101805,101306,499,1202,1979
Castilla y León ,9,Burgos,365940,826,269771,183336,180249,179223,1026,3087,1979
Castilla y León ,24,León,546671,848,410142,261085,257471,256396,1075,3614,1979
Castilla y León ,34,Palencia,190136,530,141783,100877,99290,98642,648,1587,1979
Castilla y León ,37,Salamanca ,366491,607,277145,198518,195098,193888,1210,3420,1979
Castilla y León ,40,Segovia,153103,277,111360,84286,83258,82691,567,1028,1979
Castilla y León ,42,Soria ,105231,295,81764,56946,55520,54932,588,1426,1979
Castilla y León ,47,Valladolid,473942,688,334363,247117,244744,243306,1438,2373,1979
Castilla y León ,49,Zamora,237443,407,179653,123173,120680,119799,881,2493,1979
Cataluña,8,Barcelona ,4655759,5242,3466533,2337309,2294556,2284842,9714,42753,1979
Cataluña,17,Girona,460808,634,336539,240636,236594,235866,728,4042,1979
Cataluña,25,Lleida,355891,492,267584,174656,172170,171491,679,2486,1979
Cataluña,43,Tarragona ,521889,652,372005,251500,247815,247224,591,3685,1979
Extremadura ,6,Badajoz,662557,761,461577,332132,328892,328319,573,3240,1979
Extremadura ,10,Cáceres,441306,480,311681,209735,207007,206551,456,2728,1979
Galicia,15,A Coruña,1109857,1294,820874,437702,429383,428981,402,8319,1979
Galicia,27,Lugo,416972,548,328638,161880,159620,159120,500,2260,1979
Galicia,32,Ourense,445232,514,346660,143391,143391,143391,0,0,1979
Galicia,36,Pontevedra,888307,1084,617127,296770,291182,290298,884,5588,1979
Comunidad de Madrid ,28,Madrid,4578974,5087,3177732,2328229,2307644,2298953,8691,20585,1979
Comunidad Foral de Navarra,31,Navarra,506661,807,363713,257005,252992,252171,821,4013,1979
País Vasco,1,Araba - Álava,251965,315,174145,119892,116601,116120,481,3291,1979
País Vasco,20,Gipuzkoa,707968,744,507142,334773,328647,327886,761,6126,1979
País Vasco,48,Bizkaia,1208988,1177,866185,565885,553407,552280,1127,12478,1979
Región de Murcia,30,Murcia,938815,1097,635376,461971,456209,454127,2082,5762,1979
La Rioja,26,La Rioja,249676,404,186097,136419,134739,134093,646,1680,1979
Comunitat Valenciana,3,Alicante / Alacant,1118499,1289,762982,560714,553932,552822,1110,6782,1979
Comunitat Valenciana,12,Castellón / Castelló,425589,543,309494,243601,240299,239508,791,3302,1979
Comunitat Valenciana,46,Valencia / València ,2028359,2146,1460284,1092469,1078478,1075170,3308,13991,1979
Ciudad de Ceuta ,51,Ceuta ,62861,57,32831,21484,21244,21132,112,240,1979
Ciudad de Melilla,52,Melilla,55291,44,29149,17686,17520,17457,63,166,1979
