comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Castilla y León,42,Soria,97743,237,79136,384,79520,56499,159,56658,55844,55167,677,814,1989
Castilla y León,47,Valladolid,491093,679,379184,1211,380395,284527,426,284953,282555,279588,2967,2398,1989
Castilla y León,49,Zamora,222006,388,178066,1610,179676,129045,537,129582,128411,127280,1131,1171,1989
Cataluña,8,Barcelona ,4614525,5272,3604807,13141,3617948,2451527,5439,2456966,2443643,2429402,14241,13323,1989
Cataluña,17,Girona,488216,643,384432,1250,385682,258867,544,259411,257757,255771,1986,1654,1989
Cataluña,25,Lleida,352049,445,280820,2048,282868,183420,1137,184557,183444,182103,1341,1113,1989
Cataluña,43,Tarragona ,524854,624,409149,1365,410514,274404,569,274973,273403,271719,1684,1570,1989
Extremadura,6,Badajoz ,666053,753,491771,1633,493404,375025,614,375639,373292,371493,1799,2347,1989
Extremadura,10,Cáceres ,420367,474,323042,1697,324739,241955,671,242626,240509,239423,1086,2117,1989
Galicia ,15,A Coruña,1109788,1294,861540,18222,879762,522628,3650,526278,518266,513491,4775,8012,1989
Galicia ,27,Lugo ,404888,502,329834,4600,334434,201784,1469,203253,201857,200475,1382,1396,1989
Galicia ,32,Ourense ,429382,507,333774,8378,342152,187738,2677,190415,188316,187040,1276,2099,1989
Galicia ,36,Pontevedra,900414,1047,667385,14240,681625,420825,4882,425707,421949,418043,3906,3758,1989
Comunidad de Madrid ,28,Madrid,4782418,5009,3695129,18812,3713941,2693174,7768,2700942,2686715,2659412,27303,14227,1989
Comunidad Foral de Navarra,31,Navarra ,515766,816,406481,2237,408718,279330,820,280150,277937,274977,2960,2213,1989
País Vasco,1,Araba - Álava,267728,316,208247,527,208774,139057,189,139246,137846,136787,1059,1400,1989
País Vasco,20,Gipuzkoa,689222,767,534827,2214,537041,355263,911,356174,354371,352142,2229,1803,1989
País Vasco,48,Bizkaia ,1179150,1226,919516,3077,922593,619644,1124,620768,614724,610548,4176,6044,1989
Región de Murcia,30,Murcia,1006788,1087,751065,2915,753980,558877,947,559824,556083,553443,2640,3741,1989
La Rioja,26,La Rioja,259909,401,205929,1080,207009,148710,424,149134,147808,146033,1775,1326,1989
Comunitat Valenciana,3,Alicante / Alacant,1217279,1273,899578,2659,902237,667436,996,668432,664060,660729,3331,4372,1989
Comunitat Valenciana,12,Castellón / Castelló,436590,540,340804,700,341504,256947,289,257236,254870,253197,1673,2366,1989
Comunitat Valenciana,46,Valencia / València ,2078815,2061,1599236,5679,1604915,1203261,1984,1205245,1199875,1193855,6020,5370,1989
Ciudad de Ceuta,51,Ceuta,65151,53,40933,420,41353,22979,152,23131,22919,22649,270,212,1989
Ciudad de Melilla ,52,Melilla ,52388,44,33630,355,33985,17477,157,17634,17508,17351,157,126,1989
