comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía ,4,Almería ,442324,415,322410,2576,324986,220115,966,221081,219435,218644,791,1646,1989
Andalucía ,11,Cádiz,1044493,1012,746275,2906,749181,472068,1016,473084,469188,466724,2464,3896,1989
Andalucía ,14,Córdoba ,747505,744,559785,2563,562348,421720,1057,422777,420386,418821,1565,2391,1989
Andalucía ,18,Granada ,783265,662,591023,3789,594812,409788,1373,411161,408799,406546,2253,2362,1989
Andalucía ,21,Huelva,433995,414,318957,907,319864,211037,314,211351,210319,209379,940,1032,1989
Andalucía ,23,Jaén ,646849,667,480628,1217,481845,367772,453,368225,365367,364196,1171,2858,1989
Andalucía ,29,Málaga,1150434,947,779421,4048,783469,511631,1926,513557,510152,508045,2107,3405,1989
Andalucía ,41,Sevilla ,1540907,1670,1138913,3377,1142290,815194,1324,816518,810000,805917,4083,6518,1989
Aragón,22,Huesca,210094,357,168244,984,169228,118207,473,118680,117395,116344,1051,1285,1989
Aragón,44,Teruel,149414,314,119158,568,119726,84704,223,84927,84196,83611,585,731,1989
Aragón,50,Zaragoza,824686,1147,655156,2211,657367,459817,942,460759,457862,453910,3952,2897,1989
Principado de Asturias ,33,Asturias,1112186,1408,887426,9059,896485,613510,4187,617697,612844,609116,3728,4853,1989
Illes Balears,7,Illes Balears,680933,846,547795,1144,548939,348341,438,348779,344681,341705,2976,4098,1989
Canarias,35,Las Palmas,751269,899,561845,960,562805,357399,218,357617,354733,352951,1782,2884,1989
Canarias,38,Santa Cruz de Tenerife ,715122,705,523627,2501,526128,318926,203,319129,315806,314240,1566,3323,1989
Cantabria ,39,Cantabria ,522664,498,402855,2526,405381,300155,963,301118,297873,295049,2824,3245,1989
Castilla - La Mancha,2,Albacete,346217,460,257931,924,258855,198058,351,198409,197173,195851,1322,1236,1989
Castilla - La Mancha,13,Ciudad Real,483634,593,367402,642,368044,276127,262,276389,273884,272404,1480,2505,1989
Castilla - La Mancha,16,Cuenca,213370,335,168480,355,168835,128128,163,128291,127446,126661,785,845,1989
Castilla - La Mancha,19,Guadalajara,146316,382,115296,361,115657,87301,139,87440,86690,85894,796,750,1989
Castilla - La Mancha,45,Toledo,486194,481,371919,1200,373119,290859,480,291339,288466,286744,1722,2873,1989
Castilla y León,5,Ávila,182101,310,143404,843,144247,110712,310,111022,109087,108411,676,1935,1989
Castilla y León,9,Burgos,359198,673,283402,1501,284903,205391,512,205903,203508,201110,2398,2395,1989
Castilla y León,24,León ,531021,726,414623,4228,418851,287939,1602,289541,285943,283157,2786,3598,1989
Castilla y León,34,Palencia,189433,310,147719,1012,148731,113490,350,113840,112752,111711,1041,1088,1989
Castilla y León,37,Salamanca ,359293,579,286965,2357,289322,217042,957,217999,216198,214321,1877,1801,1989
Castilla y León,40,Segovia ,150595,273,119505,363,119868,90673,125,90798,89537,88307,1230,1261,1989
