PSOE,PP,IU,CDS,CIU,EAJ-PNV,RUIZ-MATEOS,HB,PA,LV-LV,UV,EA,LVE,EE,PTE-UC,ERC,PST,PAR,AIC,PCPE,BNG,CG,UPV,PSG-EG,AV-MEC,FE-JONS,ACN,VERDE,CSD,PH,PNG-PG,AR,EXU,PSM-ENE,PORE,IGC,PAS,PED,FPG,PAM,GRM,UNA,UA-CHA,ENV-URV,PREPAL,UB,CEU,SEV,MV,ACI,PANCAL,COA,ARDE,PEE-(LV),R X C,FE (I),TAGOROR,PRGU,PRB,PNEM,PPR,PCE-(ML),LKI-EMK
86677,92216,15979,19538,0,2562,1867,30632,0,0,0,13342,0,7949,510,0,1105,0,0,333,0,0,0,0,0,211,0,0,1541,0,0,275,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35723,19427,4219,9228,0,23247,1838,16015,0,0,0,11689,953,11873,397,0,589,0,0,186,0,0,0,0,0,96,0,0,0,120,0,120,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0
70183,24638,6935,7941,0,57290,1245,78138,0,0,0,63569,2278,36857,1192,0,700,0,0,315,0,0,0,0,0,257,0,0,0,241,0,146,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127744,59632,22169,21144,0,171582,4682,92493,0,0,0,48355,6589,48559,3125,0,2099,0,0,546,0,0,0,0,0,400,0,0,0,521,0,398,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256107,166712,51105,57634,0,0,6253,0,0,3589,0,0,3905,0,1557,0,2963,0,0,1602,0,0,0,0,0,836,0,0,0,633,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58678,60737,9495,10620,0,0,1823,0,0,0,0,0,1893,0,679,0,848,0,0,271,0,0,0,0,0,220,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290886,195031,59491,66230,0,0,7784,0,0,10312,3960,0,6348,0,3162,0,2420,0,0,1632,0,0,6985,0,0,1359,0,889,1871,398,0,570,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0
106223,86359,14004,22428,0,0,3042,0,0,3753,3254,0,1877,0,1999,0,1238,0,0,525,0,0,6267,0,0,319,0,0,979,176,0,476,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481268,290711,118706,77573,0,0,11099,0,0,21748,137710,0,7233,0,7787,0,3128,0,0,1869,0,0,27515,0,0,1420,0,0,1763,623,0,874,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8643,7855,0,1880,0,0,605,0,0,756,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6741,9748,0,316,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0
